Title,Original Price,Promotional Price,Psplus Price,url_games
MudRunner - American Wilds Edition,"R$ 399,99","R$ 53,72","R$ 53,72",/ps4-store-br/mudrunner-american-wilds-edition-game-39500/
Nickelodeon Kart Racers,"R$ 399,99","R$ 37,37","R$ 37,37",/ps4-store-br/nickelodeon-kart-racers-game-39502/
SOULCALIBUR VI,"R$ 399,99","R$ 37,48","R$ 37,48",/ps4-store-br/soulcalibur-vi-game-39508/
Fast Striker,"R$ 399,99","R$ 11,25","R$ 11,25",/ps4-store-br/fast-striker-game-39515/
LEGO® DC Super-Vilões Edição Deluxe,"R$ 399,99","R$ 55,99","R$ 55,99",/ps4-store-br/lego-dc-super-viloes-edicao-deluxe-game-39522/
Disgaea 1 Complete,"R$ 399,99","R$ 83,16","R$ 83,16",/ps4-store-br/disgaea-1-complete-game-39534/
My Memory of Us,"R$ 399,99","R$ 30,72","R$ 18,43",/ps4-store-br/my-memory-of-us-game-39537/
Assassin’s Creed® Odyssey Gold Edition,"R$ 399,99","R$ 69,99","R$ 69,99",/ps4-store-br/assassins-creed-odyssey-gold-edition-game-39545/
F1 2018,"R$ 399,99","R$ 57,49","R$ 57,49",/ps4-store-br/f1-2018-game-39553/
Creed Rise to Glory™,"R$ 399,99","R$ 59,80","R$ 59,80",/ps4-store-br/creed-rise-to-glory-game-39561/
Anodyne,"R$ 399,99","R$ 10,78","R$ 5,39",/ps4-store-br/anodyne-game-39584/
Edição Ultimate do Tom Clancy’s Ghost Recon® Wildlands,"R$ 399,99","R$ 89,97","R$ 89,97",/ps4-store-br/edicao-ultimate-do-tom-clancys-ghost-recon-wildlands-game-39589/
Fishing Sim World®: Pro Tour,"R$ 399,99","R$ 39,80","R$ 39,80",/ps4-store-br/fishing-sim-world-pro-tour-game-39590/
Scribblenauts Mega Pack,"R$ 399,99","R$ 29,99","R$ 29,99",/ps4-store-br/scribblenauts-mega-pack-game-39597/
Ninjin: Clash of Carrots,"R$ 399,99","R$ 10,78","R$ 10,78",/ps4-store-br/ninjin-clash-of-carrots-game-39634/
Divinity: Original Sin 2 - Definitive Edition,"R$ 399,99","R$ 99,99","R$ 99,99",/ps4-store-br/divinity-original-sin-2-definitive-edition-game-39640/
NARUTO TO BORUTO: SHINOBI STRIKER,"R$ 399,99","R$ 37,48","R$ 37,48",/ps4-store-br/naruto-to-boruto-shinobi-striker-game-39641/
Phantom Doctrine,"R$ 399,99","R$ 42,98","R$ 42,98",/ps4-store-br/phantom-doctrine-game-39669/
Electronauts,"R$ 399,99","R$ 36,71","R$ 36,71",/ps4-store-br/electronauts-game-39703/
Disgaea 5 Complete Bundle,"R$ 399,99","R$ 82,45","R$ 82,45",/ps4-store-br/disgaea-5-complete-bundle-game-39710/
Aces of the Luftwaffe - Squadron,"R$ 399,99","R$ 31,96","R$ 19,97",/ps4-store-br/aces-of-the-luftwaffe-squadron-game-39732/
Mega Man X Legacy Collection 1+2,"R$ 399,99","R$ 89,99","R$ 89,99",/ps4-store-br/mega-man-x-legacy-collection-12-game-39741/
Chicken Assassin: Reloaded,"R$ 399,99","R$ 19,30","R$ 15,01",/ps4-store-br/chicken-assassin-reloaded-game-39753/
Mugsters,"R$ 399,99","R$ 15,98","R$ 15,98",/ps4-store-br/mugsters-game-39761/
LUMINES REMASTERED,"R$ 399,99","R$ 39,95","R$ 39,95",/ps4-store-br/lumines-remastered-game-39781/
Rainbow Skies,"R$ 399,99","R$ 39,97","R$ 39,97",/ps4-store-br/rainbow-skies-game-39804/
Jurassic World Evolution,"R$ 399,99","R$ 57,38","R$ 57,38",/ps4-store-br/jurassic-world-evolution-game-39832/
Bloodstained: Curse of the Moon,"R$ 399,99","R$ 26,95","R$ 26,95",/ps4-store-br/bloodstained-curse-of-the-moon-game-39854/
ONRUSH DIGITAL DELUXE EDITION,"R$ 399,99","R$ 88,22","R$ 88,22",/ps4-store-br/onrush-digital-deluxe-edition-game-39859/
ONRUSH STANDARD DIGITAL EDITION,"R$ 399,99","R$ 12,37","R$ 12,37",/ps4-store-br/onrush-standard-digital-edition-game-39860/
Riddled Corpses EX,"R$ 399,99","R$ 10,78","R$ 8,08",/ps4-store-br/riddled-corpses-ex-game-39861/
Street Fighter 30th Anniversary Collection,"R$ 399,99","R$ 62,45","R$ 62,45",/ps4-store-br/street-fighter-30th-anniversary-collection-game-39887/
Attack on Titan 2,"R$ 399,99","R$ 149,94","R$ 149,94",/ps4-store-br/attack-on-titan-2-game-39901/
Overwatch: Legendary Edition,"R$ 399,99","R$ 75,89","R$ 75,89",/ps4-store-br/overwatch-legendary-edition-game-39911/
Conan Exiles,"R$ 399,99","R$ 112,27","R$ 112,27",/ps4-store-br/conan-exiles-game-39941/
DOOM + Wolfenstein II Bundle,"R$ 399,99","R$ 97,67","R$ 97,67",/ps4-store-br/doom-wolfenstein-ii-bundle-game-39945/
